symbol,organ_name,industry_code,industry_name,date,open,high,low,close,volume,is_provisional,adv20,ret_4w,ret_12w,ret_13w,ret_26w,ret_52w,ma20w,ma40w,above_ma20w,above_ma40w,dist_52w_high,dist_52w_low,rs_4w_vs_vnindex,rs_12w_vs_vnindex,rs_13w_vs_vnindex,rs_26w_vs_vnindex,rs_52w_vs_vnindex,rs_4w_vs_vn30,rs_12w_vs_vn30,rs_13w_vs_vn30,rs_26w_vs_vn30,rs_52w_vs_vn30,rs_4w_vs_sector_median,rs_12w_vs_sector_median,rs_26w_vs_sector_median,rs_52w_vs_sector_median,peer_rank_4w,peer_rank_12w,peer_rank_26w,peer_rank_52w,peer_percentile_4w,peer_percentile_12w,peer_percentile_26w,peer_percentile_52w
AAA,CTCP Nhựa An Phát Xanh,18,SX Nhựa - Hóa chất,2026-09-16,7.44,7.49,7.3,7.32,1480400,True,1399235.0,0.028089887640449396,0.03682719546742219,0.028089887640449396,0.0990990990990992,-0.059125964010282805,6.991499999999999,7.10675,True,True,-0.14883720930232547,0.14913657770800626,0.006055184113539447,0.07146027077553008,0.03765399456113583,0.0024435380817489083,-0.14298810908663562,0.019323372615472456,0.06863091652270026,0.037705027411376824,0.017507989026184445,-0.1016036503594211,0.032762784836711134,0.04809127556754733,0.11709395771092423,0.0,9.0,9.0,6.0,13.0,0.68,0.68,0.8,0.52
AAM,CTCP Thủy sản MeKong,20,Chế biến Thủy sản,2026-09-16,7.79,7.79,7.4,7.4,700,True,5690.0,0.04964539007092217,0.187800963081862,0.15264797507788175,0.2131147540983609,0.04519774011299438,6.8015,6.583500000000001,True,True,-0.05128205128205121,0.2847222222222223,0.02761068654401222,0.2224340383899699,0.16221208199856818,0.1164591930810106,-0.038664404963358434,0.04087887504594523,0.21960468413714007,0.16226311484880918,0.13152364402544614,0.0027200537638560895,0.08151001358524013,0.3065030255801681,0.36276048678757183,0.2321016409127435,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9
AAN,CTCP Lương thực A An,12,Nông - Lâm - Ngư,2026-09-16,16.05,16.1,15.95,15.95,143300,True,295120.0,-0.024464831804281495,0.009493670886075778,0.016571064372211675,,,,,False,False,-0.08122119815668205,0.2480438184663536,-0.046499535331191444,0.044126746194183664,0.026135171292898107,,,-0.033231346829258435,0.041297391941353845,0.026186204143139102,,,0.012248296264031455,0.08973766594921073,,,3.0,2.0,,,0.6666666666666666,0.8333333333333334,,
AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa ,16,SX Hàng gia dụng,2026-09-16,2.09,2.09,2.06,2.07,36800,True,22275.0,-0.10389610389610393,-0.25,-0.25806451612903236,-0.3030303030303031,-0.4759493670886077,2.572,2.84675,False,False,-0.4812030075187971,0.009756097560975618,-0.12593080742301388,-0.21536692469189211,-0.24850040920834593,-0.3996858640476534,-0.5598115121649605,-0.11266261892108087,-0.21819627894472193,-0.24844937635810493,-0.38462141310321785,-0.518427053437746,-0.06744409903583648,-0.15399999999999991,-0.2060153776571687,-0.33510429666607244,14.0,15.0,14.0,14.0,0.23529411764705882,0.17647058823529413,0.23529411764705882,0.23529411764705882
ABR,CTCP Đầu tư Nhãn hiệu Việt,6,Công nghệ và thông tin,2026-09-15,10.2,10.5,10.2,10.5,400,False,5985.0,-0.1063829787234043,-0.09871244635193133,-0.10256410256410253,-0.06666666666666665,-0.1990846681922196,11.405499999999998,11.69425,False,False,-0.3096646942800789,0.02941176470588247,-0.12841768225031425,-0.06407937104382344,-0.0929999956434161,-0.16332222768401694,-0.2829468132685724,-0.11514949374838124,-0.06690872529665326,-0.0929489627931751,-0.1482577767395814,-0.24156235454135788,-0.059400549388033796,0.013527212406856393,0.053623188405797106,0.03650968727701248,7.0,4.0,4.0,4.0,0.25,0.625,0.625,0.625
ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,18,SX Nhựa - Hóa chất,2026-09-16,2.91,2.91,2.87,2.87,25500,True,247265.0,-0.06209150326797386,-0.030405405405405372,-0.046511627906976605,-0.030405405405405372,-0.23670212765957444,2.9749999999999996,2.9692499999999997,False,False,-0.2678571428571428,0.14342629482071723,-0.0841262067948838,0.004227669902702513,-0.03694752098629017,-0.12706096642275566,-0.32056427273592725,-0.0708580182929508,0.0013983156498726945,-0.03689648813604918,-0.11199651547832012,-0.2791798140087127,-0.05741860607171212,-0.019141325305280232,-0.012410546793580335,-0.17757616364929163,17.0,14.0,15.0,18.0,0.36,0.48,0.44,0.32
ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,20,Chế biến Thủy sản,2026-09-16,50.2,50.2,50.1,50.2,700,True,3655.0,-0.01953125,-0.09712230215827333,-0.08727272727272717,-0.17569786535303766,-0.23985463355542103,52.79,57.609249999999996,False,False,-0.31598310396511786,0.03292181069958855,-0.04156595352690995,-0.06248922685016545,-0.07770862035204074,-0.27235342637038795,-0.32371677863177384,-0.02829776502497694,-0.06531858110299527,-0.07765758750179974,-0.2572889754259524,-0.2823323199045593,0.012333373514317958,0.021579760340032783,-0.02605213266382672,-0.052950732755671914,3.0,4.0,7.0,6.0,0.8,0.7,0.4,0.5
ACB,Ngân hàng TMCP Á Châu,11,Ngân hàng,2026-09-16,22.1,22.3,22.05,22.25,3302000,True,6870355.0,-0.02197802197802201,-0.015486725663716894,0.0022522522522523403,0.1220373171961675,-0.01895943562610225,22.037999999999997,21.296750000000003,True,True,-0.06708595387840677,0.18920363442009624,-0.04401272550493196,0.019146349644390992,0.011816359172938773,0.025381756178817216,-0.10282158070245506,-0.03074453700299895,0.016316995391561173,0.011867392023179768,0.04044620712325275,-0.06143712197524054,0.01720811215912943,0.06630339779307326,0.04603731719616766,0.0715502304547414,10.0,6.0,8.0,8.0,0.6086956521739131,0.782608695652174,0.6956521739130435,0.6956521739130435
ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,21,Vật liệu xây dựng,2026-09-16,4.29,4.35,4.27,4.28,129300,True,354330.0,-0.09322033898305071,-0.6520325203252033,-0.6562248995983935,-0.6603174603174603,-0.6920863309352518,8.584999999999999,10.813749999999999,False,False,-0.6942857142857143,0.021479713603818507,-0.11525504250996066,-0.6173994450170954,-0.646660792677707,-0.7569730213348106,-0.7759484760116047,-0.10198685400802765,-0.6202287992699252,-0.646609759827466,-0.741908570390375,-0.7345640172843901,-0.0652101318736803,-0.5527796157432074,-0.5675947094524083,-0.4568499204405504,17.0,18.0,18.0,18.0,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555
ACG,CTCP Gỗ An Cường,26,SX Phụ trợ,2026-09-16,31.0,31.0,30.6,30.95,700,True,4535.0,-0.008012820512820484,-0.05351681957186549,-0.07473841554559058,-0.1054913294797688,-0.10883961992513669,32.61,33.86625,False,False,-0.19818652849740936,0.03511705685618738,-0.030047524039730433,-0.018883744263757607,-0.06517430862490414,-0.2021468904971191,-0.1927017650014895,-0.016779335537797424,-0.021713098516587426,-0.06512327577466315,-0.18708243955268355,-0.15131730627427498,0.0015893742745595185,-0.04994539100043682,-0.12309696328258579,-0.057819211761871325,9.0,14.0,13.0,13.0,0.5789473684210527,0.3157894736842105,0.3684210526315789,0.3684210526315789
ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,20,Chế biến Thủy sản,2026-09-16,10.65,11.25,10.65,11.15,6600,True,6140.0,-0.0708333333333333,-0.11155378486055778,-0.14559386973180077,-0.17407407407407405,-0.06538139145012567,12.442499999999999,12.94975,False,False,-0.27266797129810827,0.056872037914691864,-0.09286803686024325,-0.0769207095524499,-0.13602976281111434,-0.27072963509142434,-0.14924353652647848,-0.07959984835831024,-0.07975006380527971,-0.13597872996087335,-0.2556651841469888,-0.10785907779926396,-0.038968709819015346,0.007148277637748335,-0.024428341384863106,0.12152250934962344,8.0,5.0,6.0,3.0,0.3,0.6,0.5,0.8
ADG,CTCP Clever Group,28,"Dịch vụ tư vấn, hỗ trợ",2026-09-16,7.9,8.51,7.5,8.51,2200,True,760.0,0.050617283950617376,-0.02183908045977001,-0.016184971098266,-0.06483516483516483,-0.09947089947089938,8.462999999999997,8.741499999999998,True,False,-0.14300100704934537,0.14228187919463076,0.028582580423707427,0.012793994848337875,-0.006620864177579566,-0.16149072585251512,-0.1833330445472522,0.041850768925640436,0.009964640595508056,-0.006569831327338571,-0.14642627490807958,-0.14194858582003766,0.0348506267081331,0.03581767317399509,0.11504469467432432,0.08716763023064245,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ADP,CTCP Sơn Á Đông,18,SX Nhựa - Hóa chất,2026-09-16,24.0,24.8,23.65,23.7,2800,True,2980.0,0.02819956616052055,0.06756756756756754,0.08615948670944085,0.1095505617977528,0.031331592689294974,22.615000000000002,22.040749999999996,True,True,-0.04435483870967749,0.1838161838161838,0.006164862633610602,0.10220064287567543,0.09572359363012728,0.01289500078040251,-0.05253055238705784,0.01943305113554361,0.09937128862284561,0.09577462648036827,0.027959451724838047,-0.011146093659843315,0.03287246335678229,0.07883164766769268,0.12754542040957784,0.09045755669957778,8.0,6.0,5.0,10.0,0.72,0.8,0.84,0.64
ADS,CTCP Damsan,16,SX Hàng gia dụng,2026-09-16,7.95,7.96,7.92,7.93,18000,True,93895.0,-0.03645200486026745,-0.03995157384987891,-0.055952380952380976,0.08333333333333326,0.0,8.067,7.78725,False,True,-0.08640552995391704,0.20884146341463428,-0.0584867083871774,-0.005318498541771022,-0.04638827403169454,-0.01332222768401703,-0.08386214507635281,-0.04521851988524439,-0.00814785279460084,-0.04633724118145355,0.0017422232604185073,-0.04247768634913829,0.0,0.05604842615012118,0.18034825870646765,0.14084507042253525,9.0,5.0,2.0,3.0,0.5294117647058824,0.7647058823529411,0.9411764705882353,0.8823529411764706
AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,19,Thực phẩm - Đồ uống,2026-09-16,9.85,9.9,9.8,9.84,96600,True,131160.0,-0.020895522388059806,-0.030541871921182295,-0.03529411764705881,-0.025742574257425765,-0.016000000000000014,10.1995,10.582249999999998,False,False,-0.3395973154362416,0.09333333333333327,-0.042930225914969755,0.00409120338692559,-0.025730010726372377,-0.12239813527477605,-0.09986214507635283,-0.029662037413036746,0.0012618491340957716,-0.02567897787613138,-0.10733368433034052,-0.0584776863491383,0.007488171515033337,0.0071841538597681165,-0.0001421628924603291,-0.010514194163582957,7.0,9.0,10.0,11.0,0.6666666666666666,0.5555555555555556,0.5,0.4444444444444444
AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,3,Bất động sản,2026-09-16,10.1,10.1,9.96,9.98,182800,True,261415.0,-0.09683257918552035,-0.1506382978723404,-0.16134453781512603,-0.21417322834645658,-0.49595959595959593,11.504,12.63325,False,False,-0.5155339805825243,0.002008032128514081,-0.1188672827124303,-0.11600522256423251,-0.1517804308944396,-0.31082878936380687,-0.5798217410359487,-0.10559909421049729,-0.11883457681706233,-0.1517293980441986,-0.29576433841937133,-0.5384372823087342,-0.03702775596867991,0.0029271148171599037,-0.028021999926801877,-0.12441263463362906,47.0,29.0,34.0,45.0,0.23333333333333334,0.5333333333333333,0.45,0.2542372881355932
AGR,CTCP Chứng khoán Agribank,5,Chứng khoán,2026-09-16,12.65,12.8,12.55,12.55,103400,True,226630.0,-0.05639097744360899,-0.12543554006968638,-0.1661129568106312,-0.1284722222222222,-0.31607629427792916,13.9175,14.785,False,False,-0.3530927835051546,0.037190082644628086,-0.07842568097051894,-0.0908024647615785,-0.15654884988994477,-0.2251277832395725,-0.39993843935428197,-0.06515749246858593,-0.09363181901440831,-0.15649781703970378,-0.21006333229513696,-0.35855398062706745,0.01434072987346413,0.029589335552204166,-0.01826690821256044,0.05112129504622065,6.0,8.0,11.0,6.0,0.7619047619047619,0.65,0.5,0.7058823529411765
ANT,CTCP Rau quả Thực phẩm An Giang,19,Thực phẩm - Đồ uống,2026-09-16,18.0,18.55,17.55,18.0,12700,True,17480.0,-0.052631578947368474,-0.2996108949416342,-0.30097087378640774,-0.3892093654563963,-0.20071047957371224,23.406,27.495250000000006,False,False,-0.5513459621136589,0.06508875739644981,-0.07466628247427842,-0.2649778196335263,-0.2914067668657213,-0.4858649264737466,-0.28457262465006505,-0.06139809397234541,-0.2678071738863561,-0.2913557340154803,-0.47080047552931104,-0.24318816592285053,-0.02424788504427533,-0.26188486916068376,-0.36360895409143085,-0.19522467373729518,14.0,18.0,18.0,15.0,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.2222222222222222
ANV,CTCP Nam Việt,20,Chế biến Thủy sản,2026-09-16,15.9,16.1,15.7,15.75,141300,True,414825.0,-0.08163265306122436,-0.2824601366742596,-0.26573426573426573,-0.3167028199566161,-0.4301736613603473,19.237499999999997,22.39,False,False,-0.528443113772455,0.032786885245901676,-0.10366735658813431,-0.24782706136615174,-0.2561701588135793,-0.4133583809739664,-0.5140358064367001,-0.0903991680862013,-0.25065641561898155,-0.2561191259633383,-0.39829393002953084,-0.4726513477094856,-0.0497680295469064,-0.1637580741759535,-0.16705708726740515,-0.24326976056059818,9.0,10.0,10.0,10.0,0.2,0.1,0.1,0.1
APG,CTCP Chứng khoán APG,5,Chứng khoán,2026-09-16,4.58,4.6,4.53,4.55,48600,True,188690.0,-0.06952965235173825,-0.09542743538767406,-0.13988657844990549,-0.21280276816609,-0.6111111111111112,4.830500000000001,6.641,False,False,-0.6224066390041494,0.10705596107055948,-0.0915643558786482,-0.06079436007956618,-0.13032247152921905,-0.3094583291834403,-0.694973256187464,-0.07829616737671519,-0.063623714332396,-0.13027143867897806,-0.29439387823900476,-0.6535887974602494,0.0012020549653348755,0.05959744023421648,-0.10259745415642824,-0.24391352178696135,9.0,7.0,18.0,17.0,0.6190476190476191,0.7,0.15,0.058823529411764705
APH,CTCP Tập đoàn An Phát Holdings,18,SX Nhựa - Hóa chất,2026-09-16,6.98,6.98,6.78,6.93,320600,True,363435.0,0.162751677852349,0.26,0.2509025270758123,0.26923076923076916,0.03742514970059885,5.753500000000001,5.88425,True,True,-0.06729475100942128,0.31999999999999984,0.14071697432543906,0.2946330753081079,0.2604666339964987,0.17257520821341887,-0.046436995375753964,0.15398516282737207,0.2918037210552781,0.2605176668467397,0.1876396591578544,-0.005052536648539441,0.16742457504861075,0.27126408010012515,0.2872256278425942,0.09655111371088165,3.0,3.0,2.0,9.0,0.92,0.92,0.96,0.68
ASG,CTCP Tập đoàn ASG,23,Vận tải - kho bãi,2026-09-16,16.3,16.3,16.3,16.3,200,True,1295.0,-0.02102102102102088,-0.03834808259587008,-0.029761904761904767,-0.02102102102102088,-0.0239520958083832,16.677500000000002,16.78875,False,False,-0.06321839080459757,0.05161290322580658,-0.04305572454793083,-0.0037150072877621954,-0.020197797841218335,-0.11767658203837117,-0.10781424088473601,-0.02978753604599782,-0.006544361540592014,-0.02014676499097734,-0.10261213109393563,-0.06642978215752149,0.0,0.00143092292899194,0.014066698277224732,0.03489736418720846,18.0,17.0,16.0,13.0,0.5142857142857142,0.5428571428571428,0.5714285714285714,0.6571428571428571
ASM,CTCP Tập đoàn Sao Mai,20,Chế biến Thủy sản,2026-09-16,5.21,5.26,5.14,5.14,43900,True,207790.0,-0.12881355932203398,-0.12585034013605445,-0.12436115843270878,-0.0854092526690392,-0.31466666666666676,5.835,5.957,False,False,-0.4071510957324106,0.021868787276341894,-0.15084826284894393,-0.09121726482794656,-0.11479705151202235,-0.1820648136863895,-0.3985288117430196,-0.13758007434701092,-0.09404661908077638,-0.11474601866178136,-0.16700036274195396,-0.35714435301580505,-0.09694893580771602,-0.007148277637748335,0.06423648002017174,-0.12776276586691765,10.0,6.0,4.0,7.0,0.1,0.5,0.7,0.4
