symbol,organ_name,en_organ_name,exchange,type,industry_code,industry_name,classification_source,snapshot_at
DGW,CTCP Thế Giới Số,Digiworld Corp.,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
GEL,CTCP Hạ tầng GELEX,Gelex Infrastructure Joint Stock Company,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
HHS,CTCP Đầu tư Dịch vụ Hoàng Huy,Hoang Huy Investment Services Joint Stock Company,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
HMC,CTCP Kim khí Thành phố Hồ Chí Minh - VNSTEEL,VNSTEEL - HoChiMinh City Metal Corporation,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
HTL,CTCP Kỹ thuật và Ô tô Trường Long,Truong Long Engineering and Auto Joint Stock Company,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
JVC,CTCP Đầu tư và Phát triển Y tế Việt Nhật,Japan Vietnam Medical Investment and Development Joint Stock Company,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
NO1,CTCP Tập đoàn 911,911 Group Joint Stock Company,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
PET,Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí,Petrovietnam General Services Corporation,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
PIT,CTCP Xuất nhập khẩu Petrolimex,Petrolimex International Trading Joint Stock Company,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
PLX,Tập đoàn Xăng Dầu Việt Nam,VietNam National Petroleum Group,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
PMG,CTCP Đầu tư và Sản xuất Petro Miền Trung,Petro Center Corporation,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
SMA,CTCP Thiết bị Phụ tùng Sài Gòn,Sai Gon Machinery Spare Parts Joint Stock Company,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
SMC,CTCP Đầu tư Thương mại SMC,SMC Trading Investment Joint Stock Company,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
ST8,CTCP Tập đoàn ST8,ST8 Holdings Joint Stock Company,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
TDG,CTCP Đầu tư TDG Global,TDG Global Investment Joint Stock Company,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
TLH,CTCP Tập đoàn Thép Tiến Lên,Tien Len Steel Corporation Joint - Stock Company,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
TNI,CTCP Tập đoàn Thành Nam,Thanh Nam Group Joint Stock Company,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
TSC,CTCP Vật tư Kỹ thuật nông nghiệp Cần Thơ,Techno - Agricultural Supplying Joint Stock Company,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
VFG,CTCP Khử trùng Việt Nam,Viet Nam Fumigation Joint Stock Company,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
VID,CTCP Đầu tư Phát triển Thương mại Viễn Đông,Vien Dong Investment Development Trading Corporation,HOSE,stock,1,Bán buôn,KBS symbols_by_industries,2026-09-11T13:32:03+07:00
