symbol,organ_name,en_organ_name,industry_code,industry_name,snapshot_at
ACB,Ngân hàng TMCP Á Châu,Asia Commercial Joint Stock Bank,11,Ngân hàng,2026-09-09T10:59:21+07:00
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Joint Stock Commercial Bank for Investment and Development of Vietnam,11,Ngân hàng,2026-09-09T10:59:21+07:00
BSR,CTCP - Tổng Công ty Lọc hóa dầu Việt Nam,Petrovietnam Refining And Petrochemical Corporation,26,SX Phụ trợ,2026-09-09T10:59:21+07:00
CTG,Ngân hàng TMCP Công Thương Việt Nam,Vietnam Joint Stock Commercial Bank For Industry And Trade,11,Ngân hàng,2026-09-09T10:59:21+07:00
FPT,CTCP FPT,FPT Corporation,6,Công nghệ và thông tin,2026-09-09T10:59:21+07:00
GAS,Tổng Công ty Khí Việt Nam - CTCP,PetroVietnam Gas Joint Stock Corporation,22,Tiện ích,2026-09-09T10:59:21+07:00
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,Viet Nam Rubber Group - Joint Stock Company,18,SX Nhựa - Hóa chất,2026-09-09T10:59:21+07:00
HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ho Chi Minh City Development Joint Stock Commercial Bank,11,Ngân hàng,2026-09-09T10:59:21+07:00
HPG,CTCP Tập đoàn Hòa Phát,Hoa Phat Group Joint Stock Company,21,Vật liệu xây dựng,2026-09-09T10:59:21+07:00
LPB,Ngân hàng TMCP Lộc Phát Việt Nam,Fortune Vietnam Joint Stock Commercial Bank,11,Ngân hàng,2026-09-09T10:59:21+07:00
MBB,Ngân hàng TMCP Quân đội,Military Commercial Joint Stock Bank,11,Ngân hàng,2026-09-09T10:59:21+07:00
MCH,CTCP Hàng tiêu dùng Masan,Masan Consumer Corporation,19,Thực phẩm - Đồ uống,2026-09-09T10:59:21+07:00
MSN,CTCP Tập đoàn Masan,Masan Group Corporation,19,Thực phẩm - Đồ uống,2026-09-09T10:59:21+07:00
MWG,CTCP Đầu tư Thế giới Di động,Mobile World Investment Corporation,7,Bán lẻ,2026-09-09T10:59:21+07:00
SAB,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn,Saigon Beer - Alcohol - Beverage Corporation,19,Thực phẩm - Đồ uống,2026-09-09T10:59:21+07:00
SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,Saigon Hanoi Commercial Joint Stock Bank,11,Ngân hàng,2026-09-09T10:59:21+07:00
SSB,Ngân hàng TMCP Đông Nam Á,Southeast Asia Commercial Joint Stock Bank,11,Ngân hàng,2026-09-09T10:59:21+07:00
SSI,CTCP Chứng khoán SSI,SSI Securities Corporation,5,Chứng khoán,2026-09-09T10:59:21+07:00
STB,Ngân hàng TMCP Sài Gòn Tài Lộc,Saigon Treasure Commercial Joint Stock Bank,11,Ngân hàng,2026-09-09T10:59:21+07:00
TCB,Ngân hàng TMCP Kỹ thương Việt Nam,Vietnam Technological and Commercial Joint Stock Bank,11,Ngân hàng,2026-09-09T10:59:21+07:00
TCX,CTCP Chứng khoán Kỹ Thương,Techcom Securities Joint Stock Company,5,Chứng khoán,2026-09-09T10:59:21+07:00
VCB,Ngân hàng TMCP Ngoại thương Việt Nam,Joint Stock Commercial Bank for Foreign Trade of Vietnam,11,Ngân hàng,2026-09-09T10:59:21+07:00
VHM,CTCP Vinhomes,Vinhomes Joint Stock Company,3,Bất động sản,2026-09-09T10:59:21+07:00
VIB,Ngân hàng TMCP Quốc tế Việt Nam,Vietnam International Commercial Joint Stock Bank,11,Ngân hàng,2026-09-09T10:59:21+07:00
VIC,Tập đoàn VINGROUP - CTCP,Vingroup Joint Stock Company,3,Bất động sản,2026-09-09T10:59:21+07:00
VJC,CTCP Hàng không Vietjet,Vietjet Aviation Joint Stock Company,23,Vận tải - kho bãi,2026-09-09T10:59:21+07:00
VNM,CTCP Sữa Việt Nam,Vietnam Dairy Products Joint Stock Company,19,Thực phẩm - Đồ uống,2026-09-09T10:59:21+07:00
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,Vietnam Prosperity Joint Stock Commercial Bank,11,Ngân hàng,2026-09-09T10:59:21+07:00
VPL,CTCP Vinpearl,Vinpearl Joint Stock Company,25,"Dịch vụ lưu trú, ăn uống, giải trí",2026-09-09T10:59:21+07:00
VRE,CTCP Vincom Retail,Vincom Retail Joint Stock Company,3,Bất động sản,2026-09-09T10:59:21+07:00
