industry_name,stock_count,median_ret_4w,median_ret_12w,median_ret_26w,median_ret_52w,breadth_above_ma20w,breadth_above_ma40w,median_rs_12w_vs_vnindex,median_rs_26w_vs_vnindex
"SX Thiết bị, máy móc",2,0.0012975669266612755,0.07078211948877877,0.21883249693720103,0.09486499517839925,0.5,0.5,0.10742930972765141,0.14647477335996534
SX Phụ trợ,19,-0.009009009009009028,-0.0035460992907800915,-0.0239520958083832,-0.02422145328719716,0.42105263157894735,0.47368421052631576,0.03310109094809255,-0.09630981938561889
Thực phẩm - Đồ uống,18,-0.02509599345356117,-0.01467598790222624,-0.012842211472348541,-0.009328457377445698,0.3888888888888889,0.3333333333333333,0.0219712023366464,-0.08519993504958423
Khai khoáng,9,-0.019543973941367976,-0.017948717948717996,-0.040492957746478875,0.10974106041923548,0.4444444444444444,0.5555555555555556,0.018698472290154644,-0.11285068132371456
Tiện ích,33,-0.012499999999999956,-0.020618556701030855,-0.03754266211604107,-0.05123339658444026,0.3939393939393939,0.3333333333333333,0.016028633537841785,-0.10990038569327676
Vận tải - kho bãi,35,-0.02264150943396226,-0.03437176686975507,-0.054154302670623156,-0.07028223574986159,0.3142857142857143,0.22857142857142856,0.0022754233691175685,-0.12651202624785884
Bảo hiểm,5,-0.017857142857142905,-0.03508771929824561,-0.1461412151067324,-0.0423572744014733,0.4,0.4,0.001559470940627028,-0.21849893868396808
SX Nhựa - Hóa chất,25,0.0034482758620690834,-0.05069930069930084,-0.026755852842809347,-0.04107830551989733,0.4,0.28,-0.014052110460428202,-0.09911357642004504
Bán lẻ,13,-0.044334975369458185,-0.052782934929711256,-0.0839549565540973,-0.06479178802407737,0.38461538461538464,0.38461538461538464,-0.016135744690838616,-0.15631268013133298
Thiết bị điện,8,-0.029182749157760923,-0.05450763992081664,-0.056290560995496175,-0.14162805668594913,0.25,0.125,-0.017860449681944,-0.12864828457273186
Chăm sóc sức khỏe,12,-0.0476086413586414,-0.06266926823906072,-0.0919958401351777,-0.10789088739349495,0.25,0.25,-0.026022078000188076,-0.1643535637124134
Sản phẩm cao su,4,-0.0338293093767546,-0.06294276220926592,-0.04316031613902244,-0.12217176959003628,0.5,0.25,-0.026295571970393283,-0.11551803971625813
Bán buôn,23,-0.031693989071038264,-0.06896551724137934,-0.131782945736434,-0.2669352089204832,0.17391304347826086,0.21739130434782608,-0.0323183270025067,-0.2041406693136697
"Dịch vụ tư vấn, hỗ trợ",2,-0.003968503058328021,-0.07280670995409283,-0.21837902348274774,-0.18811975591151792,0.0,0.0,-0.03615951971522019,-0.2907367470599834
Vật liệu xây dựng,18,-0.03492067850596875,-0.08183520599250932,-0.11889128313546915,-0.23387994597751494,0.2777777777777778,0.05555555555555555,-0.04518801575363668,-0.19124900671270484
Ngân hàng,23,-0.038461538461538436,-0.08235294117647063,0.000513962652047395,-0.07142857142857129,0.2608695652173913,0.4782608695652174,-0.04570575093759799,-0.0718437609251883
SX Hàng gia dụng,17,-0.03667481662591687,-0.08536585365853655,-0.10922587486744428,-0.15747241725175531,0.11764705882352941,0.17647058823529413,-0.04871866341966391,-0.18158359844467997
"Dịch vụ lưu trú, ăn uống, giải trí",6,4.1484136466207744e-05,-0.08628659476117101,-0.09317033530014485,-0.1818509854288029,0.0,0.0,-0.04963940452229837,-0.16552805887738054
Nông - Lâm - Ngư,6,-0.022469263090209746,-0.09279541087267257,-0.13931888544891635,-0.22947957791277573,0.16666666666666666,0.16666666666666666,-0.05614822063379993,-0.21167660902615204
Xây dựng,27,-0.06796116504854366,-0.09738717339667458,-0.17543859649122806,-0.30379746835443033,0.2222222222222222,0.14814814814814814,-0.060739983157801936,-0.24779632006846375
Chế biến Thủy sản,10,-0.031142705159823925,-0.10032491778793862,-0.12700989486703762,-0.2676537585421412,0.1,0.1,-0.06367772754906598,-0.1993676184442733
Công nghệ và thông tin,8,-0.0719474531297577,-0.12712739938602702,-0.16682086152827968,-0.3007389696133782,0.125,0.125,-0.09048020914715438,-0.23917858510551537
Bất động sản,60,-0.05912190963341857,-0.15874990527671828,-0.21288647628038704,-0.38773584905660374,0.18333333333333332,0.11666666666666667,-0.12210271503784564,-0.2852441998576227
Chứng khoán,21,-0.0757363253856943,-0.18658989771906526,-0.1199544417763494,-0.3234086242299795,0.09523809523809523,0.09523809523809523,-0.14994270748019262,-0.19231216535358509
Tài chính khác,1,-0.041095890410958846,-0.26315789473684215,-0.29054054054054046,-0.53125,0.0,0.0,-0.2265107044979695,-0.36289826411777615
