symbol,week,week_start,week_end,open,high,low,close,volume,trading_days,is_provisional
AAA,2026-09-05/2026-09-11,2026-09-07,2026-09-08,7.15,7.23,7.04,7.15,1793800,2,True
AAM,2026-09-05/2026-09-11,2026-09-07,2026-09-08,7.48,7.75,7.01,7.45,27000,2,True
AAN,2026-09-05/2026-09-11,2026-09-07,2026-09-08,16.15,16.15,15.65,15.7,590500,2,True
AAT,2026-09-05/2026-09-11,2026-09-07,2026-09-08,2.27,2.27,2.18,2.23,17900,2,True
ABR,2026-09-05/2026-09-11,2026-09-07,2026-09-08,10.9,10.9,10.9,10.9,800,2,True
ABS,2026-09-05/2026-09-11,2026-09-07,2026-09-08,2.87,2.93,2.87,2.9,563900,2,True
ABT,2026-09-05/2026-09-11,2026-09-07,2026-09-08,50.3,50.4,50.1,50.3,4700,2,True
ACB,2026-09-05/2026-09-11,2026-09-07,2026-09-08,22.2,22.35,22.15,22.3,6453900,2,True
ACC,2026-09-05/2026-09-11,2026-09-07,2026-09-08,4.65,4.65,4.4,4.51,979900,2,True
ACG,2026-09-05/2026-09-11,2026-09-07,2026-09-07,32.1,32.1,31.05,31.9,1300,1,False
ACL,2026-09-05/2026-09-11,2026-09-08,2026-09-08,11.5,11.5,11.5,11.5,400,1,True
ADG,2026-09-05/2026-09-11,2026-09-08,2026-09-08,8.39,8.39,8.39,8.39,300,1,True
ADP,2026-09-05/2026-09-11,2026-09-07,2026-09-08,23.8,23.8,23.45,23.8,4900,2,True
ADS,2026-09-05/2026-09-11,2026-09-07,2026-09-08,8.14,8.14,8.02,8.09,111200,2,True
AFX,2026-09-05/2026-09-11,2026-09-07,2026-09-08,10.0,10.2,9.98,10.0,236600,2,True
AGG,2026-09-05/2026-09-11,2026-09-07,2026-09-08,10.75,10.8,10.35,10.35,582900,2,True
AGR,2026-09-05/2026-09-11,2026-09-07,2026-09-08,13.15,13.25,13.0,13.05,265600,2,True
ANT,2026-09-05/2026-09-11,2026-09-07,2026-09-08,18.45,18.9,18.0,18.3,51100,2,True
ANV,2026-09-05/2026-09-11,2026-09-07,2026-09-08,16.9,17.05,16.45,16.3,548600,2,True
